algorithmName,terrainType,randomSeed,boardSize,numObjects,collectedDamon,returnedHome,objectsCollected,stepsTaken,runtime,estimationNoise,startingBattery,usedBattery,,,,,,,,,,,,,,,,
Ants,Pure Random,8.00E+18,64,5,true,false,5,963,1.99E+11,0.6,204.8,204.7852381,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,9.18E+18,64,5,true,true,5,343,1.03E+11,0.6,102.4,75.57581647,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,9.18E+18,64,5,true,true,2,373,574200,0.6,102.4,74.72731287,,,,,,,,,,,,,,,,
Ants,Pure Random,9.18E+18,64,5,true,false,3,499,93991052700,0.6,102.4,102.2706514,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,1.14E+17,64,5,true,true,2,219,43259609900,0.6,51.2,50.54176312,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,1.14E+17,64,5,false,false,1,267,316600,0.6,51.2,51.0302541,,,,,,,,,,,,,,,,
Ants,Pure Random,1.14E+17,64,5,true,false,1,219,36632720000,0.6,51.2,51.15349409,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,5.07E+18,64,5,true,true,1,111,37534895700,0.6,25.6,25.29534723,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,5.07E+18,64,5,false,false,0,198,147400,0.6,25.6,25.5565875,,,,,,,,,,,,,,,,
Ants,Pure Random,5.07E+18,64,5,true,false,1,176,25209350100,0.6,25.6,25.58766843,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,2.00E+17,64,3,true,true,3,217,51132373300,0,409.6,40.98837564,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,2.00E+17,64,3,true,true,3,323,506100,0,409.6,61.84258164,,,,,,,,,,,,,,,,
Ants,Pure Random,2.00E+17,64,3,true,false,0,460,95028726400,0,409.6,70.44274406,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,4.01E+18,64,3,true,true,3,283,57049355200,0,204.8,51.59248469,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,4.01E+18,64,3,true,true,1,975,1133400,0,204.8,182.9107121,,,,,,,,,,,,,,,,
Ants,Pure Random,4.01E+18,64,3,true,false,0,484,98714270600,0,204.8,86.07000015,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,-2.22E+18,64,3,true,true,3,275,42409552400,0,102.4,49.01741923,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,-2.22E+18,64,3,true,true,1,439,414900,0,102.4,77.58372656,,,,,,,,,,,,,,,,
Ants,Pure Random,-2.22E+18,64,3,true,true,3,333,71277174100,0,102.4,50.23250111,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,-6.12E+18,64,3,true,true,3,227,58946189000,0,51.2,40.60632558,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,-6.12E+18,64,3,true,true,0,115,187300,0,51.2,22.84977293,,,,,,,,,,,,,,,,
Ants,Pure Random,-6.12E+18,64,3,true,false,2,412,68299793300,0,51.2,51.17842657,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,3.53E+18,64,3,true,true,1,121,16378836600,0,25.6,24.56167161,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
Greedy,Pure Random,3.53E+18,64,3,false,false,0,138,68800,0,25.6,25.46310168,,,,,,,,,,,,,,,,
Ants,Pure Random,3.53E+18,64,3,false,false,0,156,23902052900,0,25.6,25.42529355,evaporationFactor,0.5,ants,50,roverSteps,20,alpha,1,beta,3,iterations,100,,,,
Genetic,Pure Random,7.13E+18,64,3,true,true,3,197,31410810400,0.1,409.6,37.06168021,eliteProp,0.1,mutateProb,0.05,generations,50,populationSize,100,planLength,15,selectionProp,0.25,marginProp,1.5,mutationProp,0.25
